Time (s);Fp1;Fp2;Sampling Rate
6.1914062500e-01;-5.3772503662e+02;-1.1782138672e+03;
6.2304687500e-01;-5.1915045166e+02;-1.1490731201e+03;
6.2597656250e-01;-5.3731781006e+02;-1.1998430176e+03;
6.2988281250e-01;-5.5294732666e+02;-1.1690496826e+03;
6.3281250000e-01;-5.3734448242e+02;-1.1793647461e+03;
6.3574218750e-01;-5.4659997559e+02;-1.1919254150e+03;
6.3964843750e-01;-5.2874090576e+02;-1.2006025391e+03;
6.4257812500e-01;-5.3130926514e+02;-1.2203984375e+03;
6.4648437500e-01;-5.3581335449e+02;-1.2116297607e+03;
6.4941406250e-01;-5.4287738037e+02;-1.1719488525e+03;
6.5332031250e-01;-5.4136260986e+02;-1.1963594971e+03;
6.5625000000e-01;-5.5187219238e+02;-1.2301055908e+03;
6.5917968750e-01;-5.3956842041e+02;-1.2241124268e+03;
6.6308593750e-01;-5.4852691650e+02;-1.2228350830e+03;
6.6601562500e-01;-5.5215808105e+02;-1.2482038574e+03;
6.6992187500e-01;-5.3470300293e+02;-1.1523553467e+03;
6.7285156250e-01;-5.5364953613e+02;-1.1927924805e+03;
6.7578125000e-01;-5.6002935791e+02;-1.1918927002e+03;
6.7968750000e-01;-5.5455590820e+02;-1.1944831543e+03;
6.8261718750e-01;-5.2993518066e+02;-1.1680108643e+03;
6.8652343750e-01;-5.3372698975e+02;-1.1911324463e+03;
6.8945312500e-01;-5.4720697021e+02;-1.1744527588e+03;
6.9238281250e-01;-5.3771868896e+02;-1.1543593750e+03;
6.9628906250e-01;-5.4600085449e+02;-1.1910469971e+03;
6.9921875000e-01;-5.4176214600e+02;-1.2235921631e+03;
7.0312500000e-01;-5.3679016113e+02;-1.1865921631e+03;
7.0605468750e-01;-5.5935443115e+02;-1.2264053955e+03;
7.0996093750e-01;-5.2114660645e+02;-1.2433126221e+03;
7.1289062500e-01;-5.4345159912e+02;-1.1821528320e+03;
7.1582031250e-01;-5.4779187012e+02;-1.2127376709e+03;
7.1972656250e-01;-5.2496099854e+02;-1.1449504395e+03;
7.2265625000e-01;-5.2417309570e+02;-1.1586121826e+03;
7.2656250000e-01;-5.3665698242e+02;-1.1843873291e+03;
7.2949218750e-01;-5.4476928711e+02;-1.2139327393e+03;
7.3242187500e-01;-5.5184185791e+02;-1.1760906982e+03;
7.3632812500e-01;-5.4106665039e+02;-1.1318431396e+03;
7.3925781250e-01;-5.3999114990e+02;-1.1687470703e+03;
7.4316406250e-01;-5.3324768066e+02;-1.1909603271e+03;
7.4609375000e-01;-5.3054888916e+02;-1.2078430176e+03;
7.4902343750e-01;-5.3491351318e+02;-1.1878109131e+03;
7.5292968750e-01;-5.3638684082e+02;-1.2330238037e+03;
7.5585937500e-01;-5.3620324707e+02;-1.2316103516e+03;
7.5976562500e-01;-5.3941735840e+02;-1.2119545898e+03;
7.6269531250e-01;-5.2487402344e+02;-1.1937747803e+03;
7.6660156250e-01;-5.1781439209e+02;-1.1556162109e+03;
7.6953125000e-01;-5.3085650635e+02;-1.1388077393e+03;
7.7246093750e-01;-5.3729992676e+02;-1.1757198486e+03;
