Time (s);Fp1;Fp2;Sampling Rate
1.2861328125e+00;-5.6822524071e+00;-5.4911663818e+02;
1.2890625000e+00;-5.2079162598e+00;-5.2751733398e+02;
1.2929687500e+00;-2.0863227844e+00;-5.5669854736e+02;
1.2958984375e+00;-2.8389928341e+00;-5.4779278564e+02;
1.2998046875e+00;3.4767253399e+00;-5.7011914062e+02;
1.3027343750e+00;1.2093782425e+00;-5.3559698486e+02;
1.3066406250e+00;1.0829413414e+01;-5.2505157471e+02;
1.3095703125e+00;1.5064283609e+00;-5.2626153564e+02;
1.3125000000e+00;-1.0506570339e+00;-5.1888635254e+02;
1.3164062500e+00;6.4772963524e+00;-5.1342266846e+02;
1.3193359375e+00;4.3736166954e+00;-5.3154077148e+02;
1.3232421875e+00;-4.0825834274e+00;-5.6598638916e+02;
1.3261718750e+00;3.7483630180e+00;-5.3428222656e+02;
1.3291015625e+00;-2.5449647903e+00;-5.3725646973e+02;
1.3330078125e+00;-7.3793501854e+00;-5.4060949707e+02;
1.3359375000e+00;-5.9947389364e-01;-5.8146472168e+02;
1.3398437500e+00;-4.2100548744e+00;-5.5764160156e+02;
1.3427734375e+00;-4.3334932327e+00;-5.6739843750e+02;
1.3457031250e+00;-1.0341643333e+01;-5.4895794678e+02;
1.3496093750e+00;-1.0429041386e+00;-5.2277966309e+02;
1.3525390625e+00;-6.6322741508e+00;-5.4076739502e+02;
1.3564453125e+00;-1.0950542450e+01;-5.3119110107e+02;
1.3593750000e+00;1.1188293807e-02;-5.3226391602e+02;
1.3632812500e+00;-5.0856351852e+00;-5.3737371826e+02;
1.3662109375e+00;-9.2980690002e+00;-5.4310925293e+02;
1.3691406250e+00;7.9939347506e-01;-5.4411816406e+02;
1.3730468750e+00;3.3614208698e+00;-5.4094543457e+02;
1.3759765625e+00;3.0292856693e+00;-5.3072998047e+02;
1.3798828125e+00;-4.4719967842e+00;-5.5333886719e+02;
1.3828125000e+00;-4.6481800079e+00;-5.9453979492e+02;
1.3857421875e+00;-7.4477475882e-01;-5.7225225830e+02;
1.3896484375e+00;-3.5912356377e+00;-5.1535400391e+02;
1.3925781250e+00;-1.0527435303e+01;-5.2656896973e+02;
1.3964843750e+00;6.7494621277e+00;-5.5752026367e+02;
1.3994140625e+00;-5.7256870270e+00;-5.3535083008e+02;
1.4033203125e+00;-7.3671836853e+00;-5.4149951172e+02;
1.4062500000e+00;-4.2411532402e+00;-5.2905847168e+02;
1.4091796875e+00;-3.1910152435e+00;-5.4307330322e+02;
1.4130859375e+00;-1.0509325981e+01;-5.5278533936e+02;
